name,address,phone,city,type
L'Arrosoir,80 Rue Oberkampf,+33 1 43 57 15 61,Paris,florist
Diderot Fleurs,146 Avenue Daumesnil,+33143421918,Paris,florist
Nana Fleur,164 Rue de la Roquette,+33 1 45 31 83 85,Paris,florist
Christian Collin,113 Avenue Mozart,+33 1 42 88 59 19,Paris,florist
Les Pieds dans l'herbe,19 Rue Hermel,+33 9 54 45 68 07,Paris,florist
Des Fleurs pour Soi,59 Rue des Martyrs,+33 1 53 21 05 32,Paris,florist
Sonia Lurienne,Rue de la Montagne Sainte-Geneviève,+33 6 50 24 63 57,Paris,florist
Atelier M.,108 Avenue Ledru-Rollin,+33 9 81 33 20 41,Paris,barber
En Tête à Tête,42 Avenue Mathurin Moreau,+33 1 42 02 73 59,Paris,barber
Mo'tif Coiffure,2 Place Bonaventure Leca,+33 1 46 42 29 85,Paris,barber
Un air de famille,20 Rue Charles Baudelaire,+33 143073008,Paris,barber
Costi Coiffure,164 Rue du Vieux Pont de Sèvres,+33 1 49 10 69 70,Paris,barber
Les Coiffeurs de la Rue,10 Rue Saint-Antoine,+33 144540902,Paris,barber
ETINCEL’COIFFURE,21 Avenue Mozart,+33 1 46 47 52 18,Paris,barber
Kusksi Original Couscous,12 Rue Thouin,+33 142010984,Paris,restaurant
Gildas Delamer,1 Boulevard Exelmans,+33 1 45 27 08 68,Paris,restaurant
La Grille Montorgueil,50 Rue Montorgueil,+33 1 42 33 21 21,Paris,restaurant
Le Roi du Pot-au-Feu,34 Rue Vignon,+33 1 47 42 37 10,Paris,restaurant
Le Dalou,30 Place de la Nation,+33 1 43 43 41 38,Paris,restaurant
Le Boucl'art,99 Rue d'Avron,+33 1 43 70 79 91,Paris,restaurant
